,english,korean
0,Life begins at the end of your comfort zone.,인생은 당신의 편안한 공간의 끝에서 시작된다.
1,The most personal is the most creative.,가장 개인적인 것이 가장 창의적이다.
2,Let's embrace the coming year with great hopes.,다가오는 한 해를 큰 희망으로 맞이합시다.
3,Much of what I stumbled into by following my curiosity and intuition turned out to be priceless.,호기심과 직감을 따라 우연히 발견한 많은 것들은 값을 매길 수 없는 것으로 밝혀졌다.
4,You can't connect the dots looking forward.,앞으로 보이는 점들은 연결이 안 돼요.
5,I'm here to just tell you my sincere path.,저는 진실한 길을 말씀드리러 왔습니다.
6,I'm doing something because I love it and I believe it.,나는 그것을 사랑하고 믿기 때문에 무언가를 하고 있는 것이다.
7,I realized I don't know how to be anything but myself.,나는 내 자신 외에는 아무것도 할 줄 모른다는 것을 깨달았다.
8,quit game,게임을 그만두다
9,attack on sight,목전에 들이닥치다
10,defense stats,방어 통계
11,stargazing card,별을 보는 카드
12,continue?,계속?
